pc_codent,pc_centalta,pc_cuenta,pc_codcom,pc_tiporeg,pc_numorden,pc_nomcomred,pc_codcadena,pc_descadena,pc_codholding,pc_desholding,pc_identcli,pc_tipdoc,pc_numdoc,pc_producto,pc_subprodu,pc_desprod,pc_conprod,pc_desconred,pc_tipbon,pc_tipoprov,pc_codact,pc_desact,pc_nivaplcg,pc_iban,pc_ctacargo,pc_clamon,pc_desclamon,pc_indtipcta,pc_indajena,pc_codcam,pc_fecalta,pc_fecbaja,pc_motbaja,pc_desmot,pc_fecreact,pc_codrie,pc_fecultrie,pc_indcont,pc_codproceso,pc_codgrupo,pc_codregimen,pc_desregimen,pc_processdate
0001,0001,000000004001,1,CO,1,MI COMISARIATO CENTRO LC 1,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2007-06-06,0001-01-01,"","",0001-01-01,2,2007-06-06,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-27
0001,0001,000000004002,2,CO,1,MI COMISARIATO SUR LC 2,627,CZARNINS,2,CZARNINS,00011772,R,0990004FG6001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2007-06-06,0001-01-01,"","",0001-01-01,2,2007-06-06,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-26
0001,0001,000000004003,3,CO,1,MI COMISARIATO Urdesa LC 3,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2006-01-09,0001-01-01,"","",0001-01-01,2,2006-01-09,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-27
0001,0001,000000004004,4,CO,1,MI COMISARIATO Eloy Alfaro,627,CZARNINS,2,CZARNINS,00011772,R,0990Dv-196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2006-01-09,0001-01-01,"","",0001-01-01,2,2006-01-09,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-27
0001,0001,000000004005,5,CO,1,MI COMISARIATO ROCA LC 5,627,CZARNINS,2,CZARNINS,00011772,R,,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2005-12-13,0001-01-01,"","",0001-01-01,2,2005-12-13,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-01
0001,0001,000000004006,6,CO,1,Hiper Sur LC 6,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2005-12-13,0001-01-01,"","",0001-01-01,2,2005-12-13,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-27
0001,0001,000000004007,7,CO,1,MI COMISARIATO G RENDON LC,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2006-01-14,0001-01-01,"","",0001-01-01,2,2006-01-14,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-08-27
0001,0001,000000004008,8,CO,1,COMISARIATO FENIX LC 8,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2006-03-07,0001-01-01,"","",0001-01-01,2,2006-03-07,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-10-27
0001,0001,000000004009,9,CO,1,HIPER AMERICAS,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2007-02-22,0001-01-01,"","",0001-01-01,2,2007-02-22,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-09-22
0001,0001,000000004010,10,CO,1,,627,CZARNINS,2,CZARNINS,00011772,R,0990004196001,01,0001,CONSUMO PRESENCIAL,01,TAR_CONSUM,"",E,5411,"AUTOSERVICIOS Y SUPERMERCADOS,",0,"",0000025359,840,DOLAR,01,S,"",2007-01-10,0001-01-01,"","",0001-01-01,2,2007-01-10,0,3,1,20,ESP BIENE RFTE0 RIVA10 IVA15,2024-05-01
